Model,Year,Motor Type,Mileage,Color,Body Type,Price,Motor Volume,Transmission Type,Transmission Speeds,date,Manuf,Model Short
Citroen C4,,,,,,,,,,2024-10-13,Citroen,C4
Citroen Xsara Picasso,2008.0,Benzīns,99500.0,Melnametālika,Minivens,2200.0,1.6,Manuāla,5.0,2024-10-13,Citroen,Xsara Picasso
Citroen C3,2011.0,Benzīns,146000.0,Balta,Hečbeks,2450.0,1.1,Manuāla,5.0,2024-10-13,Citroen,C3
Citroen Berlingo,2021.0,Dīzelis,61688.0,Balta,-,12990.0,1.5,Manuāla,,2024-10-13,Citroen,Berlingo
Citroen C4,2008.0,Benzīns,,Pelēka,Kupeja,1590.0,1.6,Manuāla,,2024-10-13,Citroen,C4
Citroen Xsara Picasso,2001.0,Dīzelis,441314.0,Pelēka,Hečbeks,900.0,2.0,Manuāla,5.0,2024-10-13,Citroen,Xsara Picasso
Citroen C3,2013.0,Dīzelis,207158.0,Pelēka,Hečbeks,6100.0,1.4,Automāts,,2024-10-13,Citroen,C3
Citroen Berlingo,2007.0,Benzīns,188500.0,Balta,Universāls,1400.0,1.4,Manuāla,,2024-10-13,Citroen,Berlingo
Citroen C5 Aircross,2022.0,Benzīns,24000.0,Melnametālika,Universāls,26890.0,1.2,Automāts,8.0,2024-10-13,Citroen,C5 Aircross
Citroen C5,2013.0,Dīzelis,300574.0,Melna,Sedans,3200.0,2.0,Automāts,,2024-10-13,Citroen,C5
Citroen C4 Picasso,2012.0,Benzīns,,Zilametālika,Minivens,4950.0,1.6,Manuāla,5.0,2024-10-13,Citroen,C4 Picasso
Citroen DS,2012.0,Dīzelis,260000.0,Gaiši,Kupeja,5300.0,1.6,Manuāla,6.0,2024-10-13,Citroen,DS
Citroen Berlingo,2008.0,Benzīns,150000.0,Balta,Pikaps,1200.0,1.4,Manuāla,5.0,2024-10-13,Citroen,Berlingo
Citroen C3,2014.0,Dīzelis,152445.0,Zilametālika,Hečbeks,6950.0,1.4,Automāts,,2024-10-13,Citroen,C3
Citroen C5,2010.0,Dīzelis,328000.0,Melna,Universāls,1950.0,1.6,Manuāla,5.0,2024-10-13,Citroen,C5
Citroen C4,2022.0,Dīzelis,16000.0,Tumši,Hečbeks,23990.0,1.5,Automāts,8.0,2024-10-13,Citroen,C4
Citroen Jumpy,2013.0,Dīzelis,202614.0,Melnametālika,Mikroautobuss,9250.0,2.0,Automāts,,2024-10-13,Citroen,Jumpy
Citroen C5,2007.0,Dīzelis,335000.0,Sudraba,Hečbeks,750.0,1.6,Manuāla,6.0,2024-10-13,Citroen,C5
Citroen C-Crosser,2009.0,Dīzelis,239000.0,Zilametālika,Apvidus,4690.0,2.2,Manuāla,6.0,2024-10-13,Citroen,C-Crosser
Citroen Berlingo,2017.0,Dīzelis,173300.0,Sarkana,-,6490.0,1.6,Manuāla,,2024-10-13,Citroen,Berlingo
Citroen Berlingo,2013.0,Benzīns,171000.0,Balta,-,5950.0,1.6,Manuāla,5.0,2024-10-13,Citroen,Berlingo
Citroen C4 Picasso,2011.0,Dīzelis,247830.0,Brūna,Universāls,3995.0,1.6,Automāts,,2024-10-13,Citroen,C4 Picasso
Citroen C3,2014.0,Benzīns,99000.0,Balta,Hečbeks,5200.0,1.2,Manuāla,5.0,2024-10-13,Citroen,C3
Citroen C5 Aircross,2024.0,Dīzelis,10.0,Melna,Apvidus,32590.0,1.5,Automāts,8.0,2024-10-13,Citroen,C5 Aircross
Citroen C5 Aircross,2024.0,Dīzelis,10.0,Pelēka,Minivens,33290.0,1.5,Automāts,8.0,2024-10-13,Citroen,C5 Aircross
Citroen C4 Picasso,2015.0,Dīzelis,,Pelēkametālika,Minivens,7300.0,1.6,Manuāla,6.0,2024-10-13,Citroen,C4 Picasso
Citroen C5,2008.0,Dīzelis,309000.0,Zila,Sedans,2500.0,2.0,Automāts,,2024-10-13,Citroen,C5
Citroen C4 Picasso,2014.0,Dīzelis,203000.0,Gaiši,Minivens,8880.0,2.0,Automāts,,2024-10-13,Citroen,C4 Picasso
Citroen Berlingo,2019.0,Dīzelis,124000.0,Balta,Minivens,15000.0,1.5,Manuāla,6.0,2024-10-13,Citroen,Berlingo
Citroen C4 Cactus,2018.0,Dīzelis,86573.0,Zilametālika,Hečbeks,8500.0,1.6,Manuāla,5.0,2024-10-13,Citroen,C4 Cactus
Citroen C4 Picasso,2017.0,Dīzelis,221000.0,Balta,Minivens,5500.0,1.6,Manuāla,6.0,2024-10-13,Citroen,C4 Picasso
Citroen C5,2011.0,Dīzelis,315000.0,Melna,Sedans,3950.0,1.6,Automāts,6.0,2024-10-13,Citroen,C5
Citroen C4 Cactus,2014.0,Benzīns,,Pelēka,Hečbeks,6850.0,1.2,Manuāla,5.0,2024-10-13,Citroen,C4 Cactus
Citroen C8,2004.0,Dīzelis,266000.0,Zila,Minivens,450.0,2.2,Manuāla,6.0,2024-10-13,Citroen,C8
Citroen C4,2005.0,Benzīns,204987.0,Brūnametālika,Hečbeks,1400.0,1.6,Manuāla,5.0,2024-10-13,Citroen,C4
Citroen Berlingo,2002.0,Dīzelis,335000.0,Pelēka,Pikaps,550.0,2.0,Manuāla,,2024-10-13,Citroen,Berlingo
Citroen Berlingo,2006.0,Dīzelis,286000.0,Gaiši,-,400.0,1.6,Manuāla,5.0,2024-10-13,Citroen,Berlingo
Citroen C4 Picasso,2009.0,Dīzelis,320000.0,Pelēka,Minivens,3850.0,1.6,Automāts,6.0,2024-10-13,Citroen,C4 Picasso
Citroen C5,2005.0,Dīzelis,297000.0,Brūnametālika,Universāls,1300.0,2.0,Manuāla,6.0,2024-10-13,Citroen,C5
Citroen C4,2007.0,Benzīns,198111.0,Sarkanametālika,Sedans,1200.0,1.6,Manuāla,5.0,2024-10-13,Citroen,C4
Citroen C3,2021.0,Dīzelis,35232.0,Melna,Hečbeks,12790.0,1.5,Manuāla,5.0,2024-10-13,Citroen,C3
Citroen C4 Aircross,2013.0,Dīzelis,,Baltametālika,Apvidus,8450.0,1.8,Manuāla,6.0,2024-10-13,Citroen,C4 Aircross
Citroen C5,2013.0,Dīzelis,313000.0,Sudrabametālika,Universāls,5200.0,2.2,Automāts,6.0,2024-10-13,Citroen,C5
Citroen Berlingo,2017.0,Dīzelis,43575.0,Brūnametālika,Minivens,9130.0,1.6,Manuāla,5.0,2024-10-13,Citroen,Berlingo
Citroen C4,2008.0,Benzīns,170997.0,Pelēkametālika,Sedans,1500.0,1.6,Manuāla,,2024-10-13,Citroen,C4
Citroen C4,2007.0,Benzīns/gāze,189434.0,Gaiši,Hečbeks,2200.0,2.0,Automāts,4.0,2024-10-13,Citroen,C4
Citroen C5,2013.0,Dīzelis,266000.0,Melnametālika,Universāls,4900.0,2.0,Manuāla,6.0,2024-10-13,Citroen,C5
Citroen Xsara Picasso,2005.0,Benzīns,198000.0,Tumši,Minivens,2200.0,2.0,Automāts,5.0,2024-10-13,Citroen,Xsara Picasso
Citroen C4,2007.0,Benzīns,276804.0,Sarkana,Sedans,1600.0,1.6,Automāts,,2024-10-13,Citroen,C4
Citroen Jumper,2012.0,Dīzelis,285000.0,Balta,Mikroautobuss,5082.0,2.3,Manuāla,6.0,2024-10-13,Citroen,Jumper
Citroen C5,2003.0,Benzīns,190094.0,,Universāls,1100.0,2.0,Manuāla,5.0,2024-10-13,Citroen,C5
Citroen Berlingo,2008.0,Dīzelis,235758.0,Sarkana,Minivens,1800.0,1.6,Manuāla,5.0,2024-10-13,Citroen,Berlingo
Citroen Jumper,2007.0,Dīzelis,226000.0,Sarkana,Mikroautobuss,850.0,2.2,Manuāla,,2024-10-13,Citroen,Jumper
Citroen C-Crosser,2010.0,Dīzelis,222000.0,Pelēkametālika,Apvidus,5850.0,2.2,Automāts,,2024-10-13,Citroen,C-Crosser
Citroen Berlingo,2020.0,Dīzelis,,Balta,-,10890.0,1.5,Manuāla,,2024-10-13,Citroen,Berlingo
Citroen C4 Picasso,2009.0,Dīzelis,229315.0,Melna,Minivens,3800.0,2.0,Automāts,6.0,2024-10-13,Citroen,C4 Picasso
Citroen C3,2013.0,Dīzelis,150157.0,Balta,Hečbeks,6000.0,1.4,Automāts,5.0,2024-10-13,Citroen,C3
Citroen C4 Picasso,2010.0,Dīzelis,,Pelēka,Minivens,3690.0,1.6,Automāts,,2024-10-13,Citroen,C4 Picasso
Citroen C4,2008.0,Dīzelis,297500.0,Sudraba,Hečbeks,2400.0,1.6,Manuāla,5.0,2024-10-13,Citroen,C4
Citroen C4,2007.0,Benzīns/gāze,151972.0,Pelēka,Hečbeks,1300.0,1.6,Automāts,4.0,2024-10-13,Citroen,C4
Citroen Berlingo,2015.0,Dīzelis,,Zilametālika,Minivens,6490.0,1.6,Manuāla,5.0,2024-10-13,Citroen,Berlingo
Citroen Berlingo,2019.0,Dīzelis,111497.0,Pelēka,Minivens,14500.0,1.5,Manuāla,,2024-10-13,Citroen,Berlingo
Citroen C-Crosser,2008.0,Dīzelis,,Brūna,Apvidus,4400.0,2.2,Manuāla,6.0,2024-10-13,Citroen,C-Crosser
Citroen C3,2017.0,Benzīns,117000.0,Sarkanametālika,Hečbeks,6700.0,1.2,Manuāla,,2024-10-13,Citroen,C3
Citroen C4 Picasso,2014.0,Dīzelis,144000.0,Sudrabametālika,Hečbeks,8500.0,1.6,Automāts,6.0,2024-10-13,Citroen,C4 Picasso
Citroen Jumper,2013.0,Dīzelis,205000.0,Balta,Mikroautobuss,10000.0,2.2,Manuāla,6.0,2024-10-13,Citroen,Jumper
Citroen C4 Cactus,2015.0,Benzīns,,Brūna,Hečbeks,7250.0,1.2,Manuāla,,2024-10-13,Citroen,C4 Cactus
Citroen DS,2015.0,Dīzelis,228550.0,Zilametālika,Hečbeks,10599.0,2.0,Automāts,6.0,2024-10-13,Citroen,DS
Citroen Berlingo,2024.0,Dīzelis,10.0,Pelēkametālika,Minivens,31970.0,1.5,Automāts,8.0,2024-10-13,Citroen,Berlingo
Citroen Berlingo,2024.0,Benzīns,10.0,Pelēkametālika,Minivens,23000.0,1.2,Manuāla,6.0,2024-10-13,Citroen,Berlingo
Citroen Jumper,2024.0,Dīzelis,10.0,Balta,Mikroautobuss,39710.0,2.2,Manuāla,6.0,2024-10-13,Citroen,Jumper
Citroen Berlingo,2006.0,Dīzelis,240061.0,Balta,-,2650.0,1.9,Manuāla,5.0,2024-10-13,Citroen,Berlingo
Citroen C3,2017.0,Benzīns,95795.0,Zila,Hečbeks,7350.0,1.2,Manuāla,5.0,2024-10-13,Citroen,C3
Citroen Berlingo,2008.0,Dīzelis,354324.0,Balta,-,250.0,1.6,Manuāla,5.0,2024-10-13,Citroen,Berlingo
Citroen C4 Picasso,2014.0,Dīzelis,205300.0,Baltametālika,Hečbeks,5950.0,1.6,Manuāla,,2024-10-13,Citroen,C4 Picasso
Citroen Berlingo,2011.0,Dīzelis,,Zaļametālika,Minivens,4200.0,1.6,Manuāla,,2024-10-13,Citroen,Berlingo
Citroen C4 Picasso,2012.0,Benzīns,217367.0,Brūna,Minivens,3900.0,1.6,Automāts,,2024-10-13,Citroen,C4 Picasso
Citroen Jumper,2020.0,Dīzelis,,Balta,-,12700.0,2.2,Manuāla,6.0,2024-10-13,Citroen,Jumper
Citroen DS,2014.0,Hybrid,324000.0,Baltametālika,Hečbeks,9300.0,2.0,Automāts,6.0,2024-10-13,Citroen,DS
Citroen C4 Picasso,2011.0,Dīzelis,,Zilametālika,Minivens,4950.0,1.6,Manuāla,6.0,2024-10-13,Citroen,C4 Picasso
Citroen DS,2012.0,Dīzelis,,Melna,Hečbeks,5650.0,1.6,Manuāla,6.0,2024-10-13,Citroen,DS
Citroen Berlingo,2011.0,Dīzelis,,Sudraba,Minivens,4190.0,1.6,Manuāla,5.0,2024-10-13,Citroen,Berlingo
Citroen Berlingo,2016.0,Dīzelis,259000.0,Balta,Minivens,5225.0,1.6,Manuāla,5.0,2024-10-13,Citroen,Berlingo
Citroen Berlingo,2018.0,Dīzelis,136100.0,Baltametālika,Minivens,7950.0,1.6,Manuāla,,2024-10-13,Citroen,Berlingo
Citroen Jumper,2010.0,Dīzelis,,Balta,-,5100.0,2.2,Manuāla,,2024-10-13,Citroen,Jumper
Citroen C3,2003.0,Benzīns,,Sarkanametālika,Hečbeks,1300.0,1.1,Manuāla,,2024-10-13,Citroen,C3
Citroen C4 Cactus,2014.0,Dīzelis,183193.0,Sarkanametālika,Apvidus,6200.0,1.6,Automāts,,2024-10-13,Citroen,C4 Cactus
Citroen C3,2006.0,Benzīns,,Pelēka,Hečbeks,1600.0,1.6,Manuāla,,2024-10-13,Citroen,C3
Citroen C3,2015.0,Dīzelis,175150.0,Melnametālika,Hečbeks,5590.0,1.4,Manuāla,5.0,2024-10-13,Citroen,C3
Citroen C4,2022.0,Dīzelis,114000.0,Pelēkametālika,Apvidus,17490.0,1.5,Automāts,,2024-10-13,Citroen,C4
Citroen C4 Picasso,2014.0,Dīzelis,194000.0,Sudrabametālika,Minivens,8800.0,2.0,Manuāla,6.0,2024-10-13,Citroen,C4 Picasso
Citroen C5,2007.0,Benzīns,148777.0,Gaiši,Hečbeks,1550.0,2.0,Manuāla,5.0,2024-10-13,Citroen,C5
Citroen Xsara Picasso,2007.0,Benzīns,153548.0,Brūnametālika,Hečbeks,2300.0,1.6,Manuāla,,2024-10-13,Citroen,Xsara Picasso
Citroen C4 Cactus,2015.0,Dīzelis,200000.0,Melnametālika,Kupeja,7790.0,1.6,Automāts,6.0,2024-10-13,Citroen,C4 Cactus
Citroen C4,2017.0,Benzīns,42000.0,Brūnametālika,Hečbeks,10250.0,1.2,Automāts,6.0,2024-10-13,Citroen,C4
Citroen C4 Picasso,2011.0,Dīzelis,373000.0,Gaiši,Minivens,3799.0,1.6,Automāts,6.0,2024-10-13,Citroen,C4 Picasso
Citroen C4 Picasso,2009.0,Benzīns,236000.0,Pelēkametālika,Hečbeks,2491.0,1.6,Manuāla,5.0,2024-10-13,Citroen,C4 Picasso
Citroen Berlingo,2007.0,Benzīns/gāze,265938.0,Balta,-,350.0,1.4,Manuāla,,2024-10-13,Citroen,Berlingo
Citroen C4,2008.0,Benzīns,143300.0,Gaiši,Hečbeks,600.0,1.6,Manuāla,5.0,2024-10-13,Citroen,C4
Citroen C5,2013.0,Dīzelis,,Melnametālika,Sedans,4850.0,2.0,Manuāla,6.0,2024-10-13,Citroen,C5
Citroen DS,2013.0,Hybrid,224000.0,Pelēkametālika,Hečbeks,8380.0,2.0,Automāts,6.0,2024-10-13,Citroen,DS
Citroen C4,2012.0,Dīzelis,300000.0,Melnametālika,Hečbeks,3870.0,1.6,Manuāla,6.0,2024-10-13,Citroen,C4
Citroen C4 Picasso,2016.0,Dīzelis,209917.0,Melnametālika,Minivens,9950.0,1.6,Automāts,6.0,2024-10-13,Citroen,C4 Picasso
Citroen C4 Picasso,2017.0,Benzīns,135000.0,Zilametālika,Minivens,10990.0,1.2,Manuāla,6.0,2024-10-13,Citroen,C4 Picasso
Citroen C4 Picasso,2017.0,Dīzelis,180000.0,Melnametālika,Minivens,12990.0,1.6,Automāts,,2024-10-13,Citroen,C4 Picasso
Citroen C5,2008.0,Dīzelis,400000.0,Melnametālika,Sedans,3450.0,2.0,Manuāla,6.0,2024-10-13,Citroen,C5
Citroen C3 Aircross,2018.0,Dīzelis,,Pelēkametālika,Hečbeks,8950.0,1.6,Manuāla,,2024-10-13,Citroen,C3 Aircross
Citroen Jumpy,2008.0,Dīzelis,126249.0,Pelēkametālika,Mikroautobuss,3999.0,2.0,Manuāla,6.0,2024-10-13,Citroen,Jumpy
Citroen Berlingo,2014.0,Dīzelis,217000.0,Sudraba,-,5990.0,1.6,Automāts,6.0,2024-10-13,Citroen,Berlingo
Citroen Jumper,2018.0,Dīzelis,199900.0,Balta,-,12200.0,2.0,Manuāla,6.0,2024-10-13,Citroen,Jumper
Citroen Berlingo,2024.0,Dīzelis,10.0,Pelēkametālika,Minivens,32230.0,1.5,Automāts,8.0,2024-10-13,Citroen,Berlingo
Citroen C4 Picasso,2015.0,Dīzelis,194956.0,Tumši,Minivens,9850.0,1.6,Automāts,8.0,2024-10-13,Citroen,C4 Picasso
Citroen Jumpy,2007.0,Dīzelis,384000.0,Balta,Minivens,3200.0,2.0,Manuāla,6.0,2024-10-13,Citroen,Jumpy
Citroen C4 Picasso,2008.0,Dīzelis,,Violetametālika,Minivens,1950.0,1.6,Manuāla,5.0,2024-10-13,Citroen,C4 Picasso
Citroen C4 Picasso,2009.0,Dīzelis,150000.0,Zila,Minivens,3150.0,1.6,Automāts,6.0,2024-10-13,Citroen,C4 Picasso
Citroen C5,2010.0,Dīzelis,,Pelēkametālika,Universāls,2685.0,1.6,Manuāla,5.0,2024-10-13,Citroen,C5
Citroen C5,2010.0,Dīzelis,229000.0,Melnametālika,Universāls,3999.0,1.6,Manuāla,5.0,2024-10-13,Citroen,C5
Citroen C4 Cactus,2015.0,Dīzelis,170700.0,Pelēka,Hečbeks,7000.0,1.6,Automāts,,2024-10-13,Citroen,C4 Cactus
Citroen Berlingo,2010.0,Dīzelis,211588.0,Sudraba,Minivens,5550.0,1.6,Manuāla,,2024-10-13,Citroen,Berlingo
Citroen Berlingo,2010.0,Benzīns,211000.0,Balta,Minivens,500.0,1.4,Manuāla,5.0,2024-10-13,Citroen,Berlingo
Citroen C4 Picasso,2014.0,Dīzelis,216347.0,Sudrabametālika,Minivens,7950.0,1.6,Manuāla,6.0,2024-10-13,Citroen,C4 Picasso
Citroen C3,2012.0,Benzīns,122000.0,Pelēka,Hečbeks,3100.0,1.4,Manuāla,,2024-10-13,Citroen,C3
Citroen Berlingo,2023.0,Dīzelis,10.0,Balta,Hečbeks,26000.0,1.5,Automāts,8.0,2024-10-13,Citroen,Berlingo
Citroen AMI,2024.0,,10.0,Pelēka,Hečbeks,9990.0,,Automāts,,2024-10-13,Citroen,AMI
Citroen Berlingo,2024.0,Dīzelis,10.0,Gaiši,Minivens,32230.0,1.5,Automāts,8.0,2024-10-13,Citroen,Berlingo
Citroen Berlingo,2024.0,Benzīns,10.0,Zilametālika,Minivens,24200.0,1.2,Manuāla,6.0,2024-10-13,Citroen,Berlingo
Citroen C3,2019.0,Dīzelis,146000.0,Sarkanametālika,Hečbeks,8350.0,1.6,Manuāla,,2024-10-13,Citroen,C3
Citroen Jumper,2009.0,Dīzelis,321214.0,Zila,Mikroautobuss,4300.0,2.2,Manuāla,6.0,2024-10-13,Citroen,Jumper
Citroen Berlingo,2018.0,Dīzelis,159000.0,Balta,-,7100.0,1.6,Manuāla,,2024-10-13,Citroen,Berlingo
Citroen C3,2021.0,Benzīns,95000.0,Balta,Hečbeks,10950.0,1.2,Manuāla,,2024-10-13,Citroen,C3
Citroen C3,2016.0,Benzīns,165200.0,Balta,Hečbeks,5250.0,1.2,Manuāla,,2024-10-13,Citroen,C3
Citroen Jumper,2012.0,Dīzelis,320443.0,Balta,Mikroautobuss,5450.0,2.2,Manuāla,6.0,2024-10-13,Citroen,Jumper
Citroen Citi,,,,,,,,,,2024-10-13,Citroen,Citi
Citroen Nemo,2009.0,Dīzelis,272868.0,Pelēka,Mikroautobuss,1900.0,1.4,Automāts,,2024-10-13,Citroen,Nemo
Citroen C3 Picasso,2010.0,Dīzelis,303000.0,Sarkana,Universāls,2200.0,1.6,Manuāla,,2024-10-13,Citroen,C3 Picasso
Citroen C2,2005.0,Benzīns,201728.0,Sarkanametālika,Kupeja,1400.0,1.6,Automāts,5.0,2024-10-13,Citroen,C2
Citroen C5 Aircross,2024.0,Dīzelis,10.0,Pelēkametālika,Apvidus,26990.0,1.5,Automāts,8.0,2024-10-13,Citroen,C5 Aircross
Citroen C5 Aircross,2024.0,Dīzelis,10.0,Pelēkametālika,Apvidus,26990.0,1.5,Automāts,8.0,2024-10-13,Citroen,C5 Aircross
Citroen C5,2024.0,Dīzelis,10.0,Pelēkametālika,Apvidus,26990.0,1.5,Automāts,8.0,2024-10-13,Citroen,C5
Citroen C5 Aircross,2024.0,Dīzelis,10.0,Pelēkametālika,Apvidus,26990.0,1.5,Automāts,8.0,2024-10-13,Citroen,C5 Aircross
Citroen C5 Aircross,2024.0,Dīzelis,10.0,Pelēka,Apvidus,26990.0,1.5,Automāts,8.0,2024-10-13,Citroen,C5 Aircross
Citroen C4 Picasso,2011.0,Dīzelis,347392.0,Brūna,Minivens,4190.0,1.6,Manuāla,,2024-10-13,Citroen,C4 Picasso
Citroen C3,2003.0,Dīzelis,186709.0,Melna,Hečbeks,1250.0,1.4,Manuāla,,2024-10-13,Citroen,C3
Citroen C4 Picasso,2015.0,Dīzelis,139000.0,Sarkanametālika,Minivens,10999.0,2.0,Automāts,,2024-10-13,Citroen,C4 Picasso
Citroen C4 Picasso,2017.0,Dīzelis,259935.0,Balta,Mikroautobuss,7800.0,1.6,Manuāla,6.0,2024-10-13,Citroen,C4 Picasso
Citroen Berlingo,2022.0,Benzīns,5300.0,Pelēkametālika,Minivens,22499.0,1.2,Automāts,,2024-10-13,Citroen,Berlingo
Citroen Jumper,2005.0,Dīzelis,366000.0,Sarkana,Mikroautobuss,650.0,2.7,Manuāla,6.0,2024-10-13,Citroen,Jumper
Citroen Berlingo,2015.0,Dīzelis,268000.0,Balta,Minivens,5350.0,1.6,Manuāla,5.0,2024-10-13,Citroen,Berlingo
Citroen C4 Picasso,2012.0,Dīzelis,178677.0,Brūna,Minivens,5499.0,1.6,Automāts,6.0,2024-10-13,Citroen,C4 Picasso
Citroen DS,2014.0,Benzīns,132375.0,Melna,Hečbeks,6000.0,1.6,Manuāla,,2024-10-13,Citroen,DS
Citroen C3,2011.0,Dīzelis,192295.0,Balta,Hečbeks,3600.0,1.4,Manuāla,5.0,2024-10-13,Citroen,C3
Citroen Berlingo,2019.0,Benzīns,47500.0,Zilametālika,Minivens,13899.0,1.2,Manuāla,,2024-10-13,Citroen,Berlingo
Citroen C4,2015.0,Dīzelis,236900.0,Balta,Sedans,3550.0,1.6,Manuāla,,2024-10-13,Citroen,C4
Citroen Berlingo,2008.0,Dīzelis,330000.0,Balta,Universāls,800.0,1.6,Manuāla,,2024-10-13,Citroen,Berlingo
Citroen Jumpy,2022.0,Dīzelis,,Pelēka,Mikroautobuss,25900.0,1.5,Manuāla,6.0,2024-10-13,Citroen,Jumpy
Citroen C4 Picasso,2009.0,Dīzelis,280000.0,Dzeltena,Minivens,3200.0,1.6,Automāts,,2024-10-13,Citroen,C4 Picasso
Citroen C4,2008.0,Benzīns,,Melna,Kupeja,2399.0,1.6,Automāts,,2024-10-13,Citroen,C4
Citroen Berlingo,2016.0,Dīzelis,,Baltametālika,Mikroautobuss,5850.0,1.6,Manuāla,5.0,2024-10-13,Citroen,Berlingo
Citroen C-Crosser,2010.0,Dīzelis,,Sudraba,Apvidus,6050.0,2.2,Automāts,,2024-10-13,Citroen,C-Crosser
Citroen Berlingo,2018.0,Dīzelis,82666.0,Brūna,-,9800.0,1.6,Automāts,6.0,2024-10-13,Citroen,Berlingo
Citroen Berlingo,2010.0,Dīzelis,184444.0,Sudraba,Minivens,5450.0,1.6,Manuāla,,2024-10-13,Citroen,Berlingo
Citroen DS,2014.0,Dīzelis,,Balta,Hečbeks,6450.0,1.6,Manuāla,,2024-10-13,Citroen,DS
Citroen Jumper,2013.0,Dīzelis,,Baltametālika,Mikroautobuss,7999.0,3.0,Manuāla,6.0,2024-10-13,Citroen,Jumper
Citroen Jumper,2017.0,Dīzelis,144249.0,Balta,Mikroautobuss,12900.0,2.0,Manuāla,6.0,2024-10-13,Citroen,Jumper
Citroen Berlingo,2011.0,Dīzelis,282100.0,Pelēka,Minivens,5500.0,1.6,Manuāla,,2024-10-13,Citroen,Berlingo
Citroen Berlingo,2004.0,Benzīns/gāze,239000.0,Zila,Universāls,500.0,1.3,Manuāla,6.0,2024-10-13,Citroen,Berlingo
Citroen C5 Aircross,2019.0,Benzīns,40000.0,Baltametālika,Universāls,19390.0,1.6,Automāts,8.0,2024-10-13,Citroen,C5 Aircross
Citroen C5 Aircross,2019.0,Benzīns,60000.0,Pelēkametālika,Universāls,18990.0,1.6,Automāts,8.0,2024-10-13,Citroen,C5 Aircross
Citroen Jumpy,2009.0,Dīzelis,,Sudraba,Mikroautobuss,5990.0,2.0,Manuāla,6.0,2024-10-13,Citroen,Jumpy
Citroen C3,2012.0,Dīzelis,265000.0,Sudrabametālika,Hečbeks,3050.0,1.4,Manuāla,5.0,2024-10-13,Citroen,C3
Citroen C1,2006.0,Benzīns,154336.0,Sarkana,Hečbeks,1250.0,1.0,Manuāla,5.0,2024-10-13,Citroen,C1
Citroen DS,2013.0,Hybrid,208076.0,Pelēkametālika,Hečbeks,7000.0,2.0,Automāts,6.0,2024-10-13,Citroen,DS
Citroen C-Crosser,2008.0,Dīzelis,236416.0,Melnametālika,Apvidus,3920.0,2.2,Manuāla,6.0,2024-10-13,Citroen,C-Crosser
Citroen C4 Picasso,2008.0,Dīzelis,290000.0,,Minivens,2666.0,2.0,Automāts,,2024-10-13,Citroen,C4 Picasso
Citroen Jumpy,2018.0,Dīzelis,182000.0,Melna,Mikroautobuss,24500.0,2.0,Automāts,6.0,2024-10-13,Citroen,Jumpy
Citroen Jumpy,2020.0,Dīzelis,146793.0,Balta,-,16100.0,2.0,Automāts,,2024-10-13,Citroen,Jumpy
Citroen C4 Cactus,2015.0,Benzīns,157345.0,Pelēka,Hečbeks,7550.0,1.2,Automāts,,2024-10-13,Citroen,C4 Cactus
Citroen C5,2010.0,Dīzelis,183000.0,Baltametālika,Sedans,3700.0,3.0,Automāts,6.0,2024-10-13,Citroen,C5
Citroen C5,2022.0,Benzīns,52000.0,Melnametālika,Hečbeks,22900.0,1.2,Automāts,8.0,2024-10-13,Citroen,C5
Citroen Jumpy,2020.0,Dīzelis,162000.0,Pelēkametālika,Mikroautobuss,17900.0,1.5,Manuāla,6.0,2024-10-13,Citroen,Jumpy
Citroen Berlingo,2013.0,Benzīns,190400.0,Balta,Universāls,5100.0,1.6,Manuāla,,2024-10-13,Citroen,Berlingo
Citroen Jumpy,2016.0,Dīzelis,,Sudraba,Mikroautobuss,5500.0,2.0,Manuāla,,2024-10-13,Citroen,Jumpy
Citroen Berlingo,2012.0,Dīzelis,222000.0,Zaļametālika,Minivens,5000.0,1.6,Manuāla,5.0,2024-10-13,Citroen,Berlingo
Citroen Berlingo,2020.0,Benzīns,102000.0,Pelēkametālika,Minivens,15900.0,1.2,Automāts,,2024-10-13,Citroen,Berlingo
Citroen C4,2008.0,Benzīns,,Pelēkametālika,Hečbeks,2200.0,1.6,Automāts,,2024-10-13,Citroen,C4
Citroen Jumper,2007.0,Dīzelis,,Pelēka,-,6100.0,2.2,Manuāla,6.0,2024-10-13,Citroen,Jumper
Citroen C4,2007.0,Benzīns,170300.0,Violetametālika,Hečbeks,1499.0,1.6,Automāts,4.0,2024-10-13,Citroen,C4
Citroen C-Crosser,2009.0,Dīzelis,,,Apvidus,4900.0,2.2,Manuāla,6.0,2024-10-13,Citroen,C-Crosser
Citroen C4,2005.0,Benzīns,179854.0,Sudrabametālika,Hečbeks,1400.0,1.6,Manuāla,5.0,2024-10-13,Citroen,C4
Citroen C4 Cactus,2015.0,Dīzelis,136999.0,Pelēkametālika,Apvidus,7699.0,1.6,Manuāla,,2024-10-13,Citroen,C4 Cactus
Citroen Jumper,2006.0,Dīzelis,211000.0,Balta,Mikroautobuss,2000.0,2.2,Manuāla,6.0,2024-10-13,Citroen,Jumper
Citroen Jumper,2011.0,Dīzelis,224000.0,Balta,-,7700.0,2.2,Manuāla,,2024-10-13,Citroen,Jumper
Citroen C3,2017.0,Benzīns,90000.0,Sarkana,Hečbeks,6950.0,1.2,Manuāla,5.0,2024-10-13,Citroen,C3
